spec_version,estimand,pheno_type,moderator,moderator_class,outcome,effect_scale,latitude,landscape_type,moderator_value,estimate,std_error,conf_low,conf_high,p_value
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.8333333333333333,8.626017553162157,1.2079999819517395,6.258381095211712,10.993654011112602,9.28276914943532e-13
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.8333333333333333,7.526349774523928,1.2152362431654762,5.144530505211836,9.908169043836022,5.890908116723219e-10
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.875,8.630888814370984,1.2059738580594987,6.267223486277548,10.99455414246442,8.259447136134516e-13
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.875,7.591493557369077,1.199321548271694,5.240866516873741,9.942120597864411,2.4544200782559176e-10
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.9166666666666666,8.625205054395337,1.2052175905133884,6.263021983454953,10.987388125335722,8.273015741719095e-13
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.9166666666666666,7.659412741664843,1.1863862044199718,5.334138509246523,9.984686974083164,1.0744474204774906e-10
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.9583333333333331,8.612484613630041,1.2064662405875612,6.247854233514985,10.977114993745095,9.428358906090693e-13
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.9583333333333331,7.729182193594352,1.1794882128662316,5.417427776187026,10.040936611001678,5.6393818625973374e-11
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,1.0,8.596245832469918,1.2101499316836362,6.224395550476385,10.968096114463451,1.2167579777035805e-12
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,1.0,7.799876779340733,1.1806127365640349,5.48591833598595,10.113835222695515,3.931552118786415e-11
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.0,-1.0094789946530585,0.6410240126201372,-2.2658629726138764,0.2469049833077594,0.1153046409151446
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.0,-0.2208792537897815,0.6454770025705971,-1.4859909316770197,1.0442324240974568,0.7322038552781371
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.0416666666666666,-0.907717605900479,0.6394948400855323,-2.161104460767324,0.3456692489663655,0.1557739441773072
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.0416666666666666,-0.0049365449022965,0.6416784504662026,-1.2626031974715226,1.2527301076669295,0.9938617946327178
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.0833333333333333,-0.8042846977893835,0.6436115127196016,-2.0657400827551453,0.4571706871763784,0.2114299446117775
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.0833333333333333,0.2078050250098386,0.650408583991062,-1.0669723748483375,1.482582424868015,0.7493479947261601
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.125,-0.6975087509612562,0.6520690203893046,-1.9755405463586075,0.580523044436095,0.2847609125961405
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.125,0.4141443169712744,0.6683305103593635,-0.8957594131023516,1.7240480470449004,0.535475120217711
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.1666666666666666,-0.585718246057581,0.662850649894779,-1.8848816469803165,0.7134451548651545,0.3768931062197393
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.1666666666666666,0.6108801920066607,0.690357128727016,-0.7421949167687727,1.963955300782094,0.3762237187473817
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.2083333333333333,-0.4672416637198424,0.6735789723880359,-1.7874321903438923,0.8529488629042075,0.4878890554160663
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.2083333333333333,0.7948115111406484,0.7108918558521903,-0.5985109232324841,2.1881339455137807,0.2635463171354311
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.25,-0.3404074845895241,0.6818779882815436,-1.6768637834719744,0.9960488142929264,0.6176240394013242
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.25,0.9627371353978876,0.7248198831497634,-0.4578837308541792,2.3833580016499543,0.1840977524465813
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.2916666666666666,-0.2035441893081105,0.6857139674161662,-1.5475188691398682,1.140430490523647,0.7665921669764119
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.2916666666666666,1.111455925803028,0.728237779002401,-0.3158638932231172,2.5387757448291737,0.1269534218185807
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.3333333333333333,-0.0549802585170851,0.6837478597815032,-1.3951014381951743,1.285140921161004,0.9359110655060522
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.3333333333333333,1.237766743380721,0.7192225339395186,-0.1718835200103723,2.647417006771814,0.0852546684243348
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.375,0.1058181999366152,0.6761445985469519,-1.2194008615567038,1.4310372614299345,0.8756370888063927
