baseline,bh_family,block_degrees,bootstrap_se,cluster_excludes_zero,conf_high,conf_high_10,conf_high_5,conf_low,conf_low_10,conf_low_5,contrast,df_constraint,estimate,event_min_days,evidence_freeze_version,gap_days,latitude,n_blocks,n_blocks_10,n_blocks_5,p_value,p_value_bh,pheno_type,record_type,replicates,sign_stability,sign_stability_10,sign_stability_5,spatial_10_excludes_zero,spatial_5_excludes_zero,spatially_robust,spec_version,statistic,std_error,strategy,test
all_year_linear_loo,,,,,3.160852244117354,,,-2.396473252916449,,,UA_minus_PA_event_effect,,0.3821894956004524,3,,0,26.5,,,,0.7874817983407849,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.417711126548569,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.338288118437684,,,3.3161210680336817,,,event_effect_PA,,5.327204593235683,3,,0,26.75,,,,2.082786218773592e-07,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.0260818775575324,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.452755525048477,,,3.9085469239815698,,,event_effect_UA,,5.680651224515024,3,,0,26.75,,,,3.3241416255416247e-10,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9041514612062196,overlap_weighted_adjusted,
all_year_linear_loo,,,,,3.0058909285662128,,,-2.2989976660075317,,,UA_minus_PA_event_effect,,0.3534466312793408,3,,0,26.75,,,,0.7939603099407894,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.3533127742188196,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.302773495694115,,,3.4529211223960545,,,event_effect_PA,,5.377847309045085,3,,0,27.0,,,,4.356975907697e-08,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9821232440149932,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.397361389501172,,,4.010733215053789,,,event_effect_UA,,5.7040473022774805,3,,0,27.0,,,,4.048922765110703e-11,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.8639516341016147,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.860536845165571,,,-2.2081368587007804,,,UA_minus_PA_event_effect,,0.3261999932323953,3,,0,27.0,,,,0.8008314353452839,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.2930527662363704,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.270291715684763,,,3.580860998008379,,,event_effect_PA,,5.425576356846571,3,,0,27.25,,,,8.188117846624187e-09,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9411986002748376,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.347428496567684,,,4.104851790313669,,,event_effect_UA,,5.726140143440676,3,,0,27.25,,,,4.443997276183295e-12,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.8272031353206095,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.7255087147893984,,,-2.124381141601189,,,UA_minus_PA_event_effect,,0.3005637865941046,3,,0,27.25,,,,0.8080588820611218,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.2372395346664278,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.240998039817118,,,3.699372182895756,,,event_effect_PA,,5.470185111356437,3,,0,27.5,,,,1.4086488498733294e-09,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.903492585796794,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.303299332943137,,,4.190375322767652,,,event_effect_UA,,5.746837327855395,3,,0,27.5,,,,4.598519716563138e-13,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7941278601876954,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.6014907658596624,,,-2.048186332861747,,,UA_minus_PA_event_effect,,0.2766522164989579,3,,0,27.5,,,,0.815580712112596,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.1861639130610229,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.215006961511332,,,3.80792693307062,,,event_effect_PA,,5.511466947290976,3,,0,27.75,,,,2.281659257716305e-10,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.8691690396648419,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.265252411535221,,,4.266840459209617,,,event_effect_UA,,5.766046435372419,3,,0,27.75,,,,4.7667606938006894e-14,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7649150637401235,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.4891051822495744,,,-1.979946206086688,,,UA_minus_PA_event_effect,,0.2545794880814432,3,,0,27.75,,,,0.8233030580542666,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.1400850790084842,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.192373296876054,,,3.906057181856917,,,event_effect_PA,,5.549215239366486,3,,0,28.0,,,,3.6134098729684016e-11,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.8383613527955565,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.233472327365437,,,4.3338777643196345,,,event_effect_UA,,5.783675045842536,3,,0,28.0,,,,5.3294269852369676e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.739706082845765,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.388879488091522,,,-1.9199598751394225,,,UA_minus_PA_event_effect,,0.2344598064760498,3,,0,28.0,,,,0.8310947624926386,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.0992139134235426,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.17307163732909,,,3.993375087269429,,,event_effect_PA,,5.583223362299259,3,,0,28.25,,,,5.86073494357341e-12,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.811161984388668,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.208019070419896,,,4.391242407813156,,,event_effect_UA,,5.799630739116526,3,,0,28.25,,,,6.973885101007788e-16,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7185786792066371,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.301210952282901,,,-1.8683961986483677,,,UA_minus_PA_event_effect,,0.2164073768172668,3,,0,28.25,,,,0.838784305798341,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.0636948392472,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.156975946404609,,,4.06959343520658,,,event_effect_PA,,5.613284690805594,3,,0,28.5,,,,1.0260506899181121e-12,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.787612051943533,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.1888006960108575,,,4.438841494079495,,,event_effect_UA,,5.813821095045176,3,,0,28.5,,,,1.158400217970602e-16,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7015330954095815,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.2263315285081715,,,-1.825258720029007,,,UA_minus_PA_event_effect,,0.2005364042395824,3,,0,28.5,,,,0.8461604691414433,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.0335879333741858,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.143841675951313,,,4.13454352325226,,,event_effect_PA,,5.639192599601786,3,,0,28.75,,,,2.047728332926497e-13,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7676922067027797,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.175554046578253,,,4.476753340380292,,,event_effect_UA,,5.826153693479273,3,,0,28.75,,,,2.62120424368749e-17,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6884822189299794,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.164278001986314,,,-1.7903558142313427,,,UA_minus_PA_event_effect,,0.1869610938774857,3,,0,28.75,,,,0.852977797700047,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,1.0088536951217737,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.133293025042555,,,4.188187901765701,,,event_effect_PA,,5.660740463404128,3,,0,29.0,,,,4.9046426537230505e-14,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.751316132976796,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.167837648006334,,,4.505234580532853,,,event_effect_UA,,5.8365361142695935,3,,0,29.0,,,,8.499030558660044e-18,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6792479577369164,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.1148723634746727,,,-1.7632810617437418,,,UA_minus_PA_event_effect,,0.1757956508654655,3,,0,29.0,,,,0.8589670048340552,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9893430327824372,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.124817665722063,,,4.230625648135776,,,event_effect_PA,,5.677721656928919,3,,0,29.25,,,,1.4716550335695835e-14,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7383278571482192,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.165039036577677,,,4.524712837956181,,,event_effect_UA,,5.844875937266929,3,,0,29.25,,,,4.044796239524695e-18,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6735649786037019,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.0777165584324813,,,-1.7434079977564605,,,UA_minus_PA_event_effect,,0.1671542803380106,3,,0,29.25,,,,0.8638491741819888,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.974794584576422,overlap_weighted_adjusted,
