spec_version,gap_days,event_min_days,dose_metric,pheno_type,outcome,model_form,boundary_excluded,latitude,landscape_type,dose,reference_dose,estimate,std_error,conf_low,conf_high,p_value
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,10.0,1.0,4.464773896001425,1.806321887724494,0.924448051575014,8.005099740427836,0.0134453969028623
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,10.25,1.0,4.66639262524747,1.8293468130958324,1.0809387563465127,8.251846494148428,0.0107460007270571
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,10.5,1.0,4.874389209189534,1.8507193251536973,1.2470459863960135,8.501732431983054,0.0084439957069813
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,10.75,1.0,5.088936022278855,1.870501977037276,1.4228195142748268,8.755052530282882,0.0065158465141039
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,11.0,1.0,5.310205438966676,1.8887725565858275,1.6082792530708128,9.01213162486254,0.0049317470182249
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,11.25,1.0,5.538369833704261,1.905625633069168,1.8034122248723512,9.27332744253617,0.003656999131741
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,11.5,1.0,5.773601580942831,1.921174213806336,2.008169313855359,9.539033848030304,0.0026536592214774
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,11.75,1.0,6.016073055133649,1.93555149912746,2.222461826621318,9.80968428364598,0.0018823331012729
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,12.0,1.0,6.265956630727931,1.9489127156948167,2.44615789895394,10.085755362501924,0.0013039737235997
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,12.25,1.0,6.523424682176945,1.961436997331124,2.679078809463556,10.367770554890331,0.0008815266663903
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,12.5,1.0,6.78864958393193,1.9733292689256925,2.920995287198818,10.656303880665044,0.0005812820346159
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,12.75,1.0,7.061803710444121,1.9848220725826584,3.171623932461965,10.951983488426276,0.0003738278004922
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,13.0,1.0,7.343059436164778,1.9961772561081024,3.43062390743491,11.255494964894648,0.0002345537653837
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,13.25,1.0,7.632589135545132,2.0076874228262973,3.6975940945915498,11.567584176498714,0.000143717111218
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,13.5,1.0,7.930565183036422,2.0196770198414344,3.9720709637440224,11.889059402328822,8.613710887912596e-05
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,13.75,1.0,8.2371599530899,2.032502921338869,4.25352742879327,12.220792477386532,5.0626142513638734e-05
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,14.0,1.0,8.552545820156823,2.046554347463682,4.541373006724134,12.563718633589511,2.9279670366551097e-05
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,14.25,1.0,8.876892320010265,2.0622565610124526,4.83494373354443,12.9188409064761,1.6739666907056648e-05
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,14.5,1.0,9.21035763371076,2.0800618622236424,5.133511298137106,13.287203969284416,9.514403213463676e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,14.75,1.0,9.553097103640695,2.1003936751860626,5.436401146920294,13.6697930603611,5.409610788989955e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,15.0,1.0,9.905266072182442,2.1236284094155797,5.7430308731818265,14.067501271183058,3.0965084758220957e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,15.25,1.0,10.267019881718388,2.150087879711541,6.052925073887678,14.481114689549097,1.7956183974763105e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,15.5,1.0,10.63851387463091,2.1800331984238515,6.365727320618499,14.91130042864332,1.060977179063416e-06
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,15.75,1.0,11.019903393302393,2.213660495376052,6.681208548366236,15.35859823823855,6.419948321723997e-07
