pheno_type,latitude_bin,longitude_bin,event_numerator,event_denominator,event_anomaly_sum,event_anomaly_n,latitude,longitude,event_frequency,mean_event_anomaly
EOS,25,-112,23,57,-35.73314523412128,4.057324795207886,25.5,-111.5,0.40350877192982454,-8.807070431316165
EOS,25,-104,241,501,-1001.7428020040252,130.0843577327498,25.5,-103.5,0.4810379241516966,-7.700716823017594
EOS,25,-102,26,47,-14.942677056739544,9.849653987995687,25.5,-101.5,0.5531914893617021,-1.517076343488919
EOS,25,-101,821,2309,-83.30053835613639,149.94178060142977,25.5,-100.5,0.3555651797314855,-0.5555525486092705
EOS,25,-100,67,226,-23.27637322271305,7.4673444959902735,25.5,-99.5,0.29646017699115046,-3.117088442244994
EOS,25,-99,5,8,-0.6282557914251559,0.02794021944076297,25.5,-98.5,0.625,-22.485714285714284
EOS,25,-98,60,288,13.59092151620931,1.254473746371099,25.5,-97.5,0.20833333333333334,10.833962492658523
EOS,25,-82,3,22,-21.15209645987067,1.6920705429770244,25.5,-81.5,0.13636363636363635,-12.500717861712625
EOS,25,-81,45,292,57.53275568186242,3.297128544214362,25.5,-80.5,0.1541095890410959,17.449351734501846
EOS,25,7,3,11,4.680816561621064,0.38860893347158676,25.5,7.5,0.2727272727272727,12.045056503991315
EOS,25,8,5,19,-0.01638355081414256,0.03253382408964195,25.5,8.5,0.2631578947368421,-0.5035851539923559
EOS,25,39,7,11,27.932083446590543,0.36778408455162404,25.5,39.5,0.6363636363636364,75.94696078445953
EOS,25,49,4,16,30.071128924086487,0.7938224193967515,25.5,49.5,0.25,37.881430644070754
EOS,25,66,30,59,-25.944621300574354,2.4359129621132607,25.5,66.5,0.5084745762711864,-10.650881909206749
EOS,25,67,266,709,-33.795008685619955,23.73060292931528,25.5,67.5,0.3751763046544429,-1.4241108321723992
EOS,25,68,5,15,-44.947639839975395,0.5662163044915337,25.5,68.5,0.3333333333333333,-79.38245416712027
EOS,25,69,59,123,-150.8056322909176,10.666009549303904,25.5,69.5,0.4796747967479675,-14.138899050653825
EOS,25,71,42,92,-15.793709012346927,38.31793603321309,25.5,71.5,0.45652173913043476,-0.4121753582619197
EOS,25,72,8,12,-0.2543602540265404,0.7189713111295747,25.5,72.5,0.6666666666666666,-0.35378359343283866
EOS,25,95,562,1631,1.079186771591319,0.5894235621654049,25.5,95.5,0.34457388105456777,1.830918953471487
EOS,25,97,26,64,-0.27174207691809854,0.044414024197697195,25.5,97.5,0.40625,-6.118384492891504
EOS,25,98,11,48,18.06574039546194,4.962407324968765,25.5,98.5,0.22916666666666666,3.6405194520334248
EOS,25,99,5,23,-2.5831649692000336,1.413476560455453,25.5,99.5,0.21739130434782608,-1.8275258617431065
EOS,25,100,46,157,-45.37791266404007,12.880647528149337,25.5,100.5,0.2929936305732484,-3.5229527525593167
EOS,25,101,18,58,-4.762914765632751,5.383892847184486,25.5,101.5,0.3103448275862069,-0.88466002218516
EOS,25,102,64,165,4.442989135272489,18.930325265017867,25.5,102.5,0.3878787878787879,0.23470220786342605
EOS,25,103,10,33,1.1931765300855455,0.5992720039887691,25.5,103.5,0.30303030303030304,1.9910433361540891
EOS,25,104,10,28,-0.8041431515045672,0.120947408357997,25.5,104.5,0.35714285714285715,-6.64870097194933
EOS,25,105,13,35,0.14240751144337407,0.06494220669172901,25.5,105.5,0.37142857142857144,2.19283450159557
EOS,25,107,6,23,-0.0004803248908693755,0.00024729701394266,25.5,107.5,0.2608695652173913,-1.9422995984122435
EOS,25,109,34,92,-1.4088084211508396,0.13884607600137622,25.5,109.5,0.3695652173913043,-10.146548334119833
EOS,25,110,73,203,-2.4163971407803255,0.3706690001970765,25.5,110.5,0.35960591133004927,-6.519015994042072
EOS,25,111,65,138,-0.8902702485583449,0.17329589395849787,25.5,111.5,0.47101449275362317,-5.137284145760275
EOS,25,112,81,174,-2.218411934395791,0.5884898082963435,25.5,112.5,0.46551724137931033,-3.7696692502084495
EOS,25,113,76,162,-1.6162920083629841,0.4341686882531507,25.5,113.5,0.4691358024691358,-3.722728174770109
EOS,25,114,50,112,0.2600267414488994,0.2282879319986011,25.5,114.5,0.44642857142857145,1.1390297295719198
EOS,25,115,75,187,-11.213025218597071,2.0166432094416846,25.5,115.5,0.40106951871657753,-5.56024246931684
EOS,25,116,176,500,-25.07880704638797,7.739069106423277,25.5,116.5,0.352,-3.240545691157228
EOS,25,117,99,287,-66.30744289492057,11.841290423647674,25.5,117.5,0.34494773519163763,-5.5996804843584576
EOS,25,118,40,132,-1.1444499784751123,0.5945056824238608,25.5,118.5,0.30303030303030304,-1.9250446418090943
EOS,25,119,23,186,-12.220566227153393,0.408030855413117,25.5,119.5,0.12365591397849462,-29.95010319692734
EOS,25,121,20,194,6.806032986190022,6.030360850207863,25.5,121.5,0.10309278350515463,1.1286278143629533
EOS,26,-110,20,46,-32.891867514145794,6.127172936935694,26.5,-109.5,0.43478260869565216,-5.368196369302347
EOS,26,-109,147,321,-105.06594717923312,42.646760512594895,26.5,-108.5,0.45794392523364486,-2.463632545975067
EOS,26,-106,25,71,-35.64539785702499,14.880184989728598,26.5,-105.5,0.352112676056338,-2.395494268493979
EOS,26,-104,1103,2049,-42.807975254406564,182.7688777190286,26.5,-103.5,0.5383113714006833,-0.23421917226091113
EOS,26,-103,186,369,-60.113037494745875,52.16716549921729,26.5,-102.5,0.5040650406504065,-1.1523155785730357
EOS,26,-102,189,415,-79.02913049758887,68.63505666896889,26.5,-101.5,0.45542168674698796,-1.1514397209395666
EOS,26,-101,60,134,25.567685968829593,19.856941759060923,26.5,-100.5,0.44776119402985076,1.2875943475617437
EOS,26,-100,66,187,-6.076122125222765,0.8933818771011502,26.5,-99.5,0.35294117647058826,-6.801259663939675
EOS,26,-99,203,452,-63.73071699133217,4.307864016114664,26.5,-98.5,0.4491150442477876,-14.794041026580963
EOS,26,-98,43,183,-7.760173629999676,0.8253212278700288,26.5,-97.5,0.23497267759562843,-9.402609999535532
EOS,26,-83,65,258,5.603407323754082,1.1658915996309276,26.5,-82.5,0.25193798449612403,4.806113471893859
EOS,26,-82,286,1011,280.2592348615132,36.95204594947429,26.5,-81.5,0.2828882294757666,7.58440372272541
EOS,26,-81,18,238,18.422034153926084,7.635149992218679,26.5,-80.5,0.07563025210084033,2.4127926985980364
EOS,26,32,9,19,-2.75297597157564,0.5949355948330625,26.5,32.5,0.47368421052631576,-4.627351255303726
EOS,26,67,1,6,0.28086085952870393,0.014782150501510733,26.5,67.5,0.16666666666666666,19.0
EOS,26,68,149,322,-33.23629141802448,48.070656788305826,26.5,68.5,0.46273291925465837,-0.6914049783923462
EOS,26,71,19,44,-132.33996918680248,16.582058121447286,26.5,71.5,0.4318181818181818,-7.980913359339486
EOS,26,72,18,39,-41.373127791567214,4.232648279286589,26.5,72.5,0.46153846153846156,-9.77476158225475
EOS,26,73,38,88,54.79815527612497,16.012612861563298,26.5,73.5,0.4318181818181818,3.4221869815926516
EOS,26,74,5,5,0.0,1.8636340223111016,26.5,74.5,1.0,0.0
EOS,26,75,11,21,-25.369199242639144,4.866447604766627,26.5,75.5,0.5238095238095238,-5.213083814524237
EOS,26,78,21,27,-0.33465224871480204,0.07904878346187649,26.5,78.5,0.7777777777777778,-4.233490182378297
EOS,26,89,14,34,-0.001677160060264921,0.002368993272303038,26.5,89.5,0.4117647058823529,-0.7079632010243975
EOS,26,90,526,1246,-0.030010951332665632,0.02406432980051376,26.5,90.5,0.42215088282504015,-1.24711353199726
EOS,26,91,251,619,30.83876820623822,15.904456798062423,26.5,91.5,0.40549273021001614,1.9390016646148636
EOS,26,92,37,133,-0.004717449967634003,0.04603695153268533,26.5,92.5,0.2781954887218045,-0.10247094585063274
EOS,26,93,111,272,13.855971508259943,6.512640340420382,26.5,93.5,0.40808823529411764,2.1275505454006938
EOS,26,101,149,404,-147.79693121844906,66.15816488610133,26.5,101.5,0.3688118811881188,-2.2339938157731245
EOS,26,103,10,25,-6.228639733677935,2.1518834084255096,26.5,103.5,0.4,-2.8945061378744987
EOS,26,104,43,138,8.88044067372378,2.084329539989499,26.5,104.5,0.3115942028985507,4.26057420544379
EOS,26,105,16,46,-0.0025611426612626616,0.0020503782599323728,26.5,105.5,0.34782608695652173,-1.2491074019420862
EOS,26,106,69,195,1.555737819310836,0.9573197917087722,26.5,106.5,0.35384615384615387,1.6250973110395166
EOS,26,107,43,115,1.3400358448972292,0.5821249730879622,26.5,107.5,0.3739130434782609,2.3019727839347355
